candidate,n_rows,n_wells,row_rmse,well_rmse_mean,well_rmse_max,known_frac,well_limit,selector_meta
artifact,43012,12,5.339656020880419,4.629607241071933,11.01870263548479,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
blend_pf70,43012,12,5.192824088732671,4.869263622061557,8.961161153259962,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
blend_pf75,43012,12,5.271179421775894,4.931244477941132,9.150553416004566,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
blend_pf78,43012,12,5.314302069941818,4.964275396217739,9.249005571491507,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
blend_pf80,43012,12,5.359971360679246,4.998670084762448,9.349856947062937,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
selector_gap_hi_75,43012,12,5.385679284555296,5.026086621682391,9.349856947062937,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
blend_pf82,43012,12,5.408122778441143,5.034434040736635,9.453030753485198,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
blend_pf85,43012,12,5.458690638675691,5.071575374800234,9.558451786187153,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
blend_pf90,43012,12,5.566809139978354,5.150037280561685,9.775743177585975,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
pf,43012,12,5.809099332724309,5.324199164734491,10.234177956505558,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
blend_pf100,43012,12,5.809099332724309,5.324199164734491,10.234177956505558,0.45,12,"{""gap_hi_well"": ""c9e980e8"", ""gap_hi_mean_abs_gap"": 7.3229186586037365}"
