candidate,n_rows,n_wells,row_rmse,well_rmse_mean,well_rmse_max,known_frac,well_limit,selector_meta
selector_gap_hi_75,8676,3,4.412451674751831,4.393327213029178,5.618222463092659,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
blend_pf75,8676,3,4.469430278946515,4.457880221902179,5.618222463092659,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
blend_pf78,8676,3,4.477331387551074,4.457905520749487,5.716346883937673,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
blend_pf80,8676,3,4.487084555185004,4.458803464841542,5.814651218529752,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
blend_pf70,8676,3,4.459221310354414,4.460336106367493,5.422552412674765,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
blend_pf82,8676,3,4.498677736029787,4.4606037700183405,5.913126493804321,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
blend_pf85,8676,3,4.5120967471635245,4.46333763998105,6.011764309522781,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
blend_pf90,8676,3,4.544345362042632,4.471738294244203,6.209496566156503,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
pf,8676,3,4.629913129545592,4.50127697395173,6.606596030036223,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
blend_pf100,8676,3,4.629913129545592,4.50127697395173,6.606596030036223,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
artifact,8676,3,5.063616377406915,4.7752246351977465,5.999032161255421,0.6,3,"{""gap_hi_well"": ""4ddde4c1"", ""gap_hi_mean_abs_gap"": 3.063507527698694}"
