variant,n_masks,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
EGFDL_k64_tail_mean,18,6,46946,9.087198262635495,7.889615884823241,6.389699179814764,10.57732132524649,18.843362641239704
EGFDU_k64_tail_mean,18,6,46946,9.09790651407428,7.9118755547091935,6.4267784802407615,10.563886377853958,18.84336264124039
EGFDL_k64_tail_median,18,6,46946,9.134633184187612,7.946519246533929,6.4172866392041,10.73940812685547,18.88894891553819
EGFDU_k64_tail_median,18,6,46946,9.14532369909442,7.968766586991878,6.431612313759475,10.72656584417321,18.888948915538876
BUDA_k64_tail_mean,18,6,46946,9.170890680808476,8.045553557273104,6.988779693275893,10.485807669679229,18.843362641240862
BUDA_k64_tail_median,18,6,46946,9.218624762406264,8.103052326840505,6.994787373884854,10.652207324024806,18.88894891553935
ASTNL_k64_tail_mean,18,6,46946,10.209077365385237,9.144811206684246,8.975414995752402,11.53694116317069,18.84336264123842
ASTNL_k64_tail_median,18,6,46946,10.252531418267298,9.200899881712552,8.97696341008826,11.585956431157744,18.88894891553847
EGFDL_k32_tail_mean,18,6,46946,10.278295189473933,9.183918576618153,9.098088519641543,11.0493555477397,20.291372143976258
EGFDL_k32_tail_median,18,6,46946,10.287588154760066,9.209764754606867,9.029457296503995,11.052985684889721,20.304304015863696
EGFDU_k32_tail_mean,18,6,46946,10.303000319908739,9.21533816124458,9.26852156791028,11.201113104901875,20.291372143976943
EGFDU_k32_tail_median,18,6,46946,10.312668062258892,9.241547275350591,9.199760389651955,11.204291698396345,20.304304015862822
BUDA_k32_tail_mean,18,6,46946,10.458829274926222,9.39662437419017,9.400600501010487,11.695234985956228,20.291372143975842
BUDA_k32_tail_median,18,6,46946,10.469310450688905,9.423344455895473,9.292481118199115,11.696186101299508,20.304304015861717
BUDA_k16_tail_median,18,6,46946,11.184950175421953,10.05026561019378,9.577148095322393,12.813284942563143,18.52795905018451
BUDA_k16_tail_mean,18,6,46946,11.190195110489299,10.047612959312483,9.655445711909053,12.75288155952533,18.547774810103636
EGFDU_k16_tail_median,18,6,46946,11.595905963790841,10.266033646553536,9.584830069979787,12.50793571994689,21.35261299645214
EGFDU_k16_tail_mean,18,6,46946,11.6110506858383,10.272956501958824,9.66009159532771,12.507058392368107,21.391489762528618
EGFDL_k16_tail_median,18,6,46946,11.715741740054327,10.334279833923166,9.586127638618766,12.579110599008793,22.082706324851333
EGFDL_k16_tail_mean,18,6,46946,11.73367227741101,10.34396864924986,9.660966777351907,12.595809246494076,22.12197330355371
ASTNL_k32_tail_mean,18,6,46946,12.701886802013284,11.192275186672573,9.343849575249525,13.012797539808602,25.703651399693122
ASTNL_k32_tail_median,18,6,46946,12.715966932156181,11.222171667222895,9.233889213269489,13.070536006370453,25.656977941457694
ASTNL_k16_tail_median,18,6,46946,14.40060601493568,12.260758362276203,9.554271517797975,13.036398006629085,33.42180216179472
ASTNL_k16_tail_mean,18,6,46946,14.452045591441255,12.288582852672608,9.642430278075942,13.008254367058669,33.72955592021487
EGFDL_k64_tail_linear,18,6,46946,24.749994579631167,18.146339604780948,14.268641328619168,27.336906831971255,55.811252266966925
EGFDU_k64_tail_linear,18,6,46946,24.76251408931766,18.197418955485627,14.506570547721285,27.348038457365533,55.81125226696227
BUDA_k64_tail_linear,18,6,46946,24.82964225071341,18.424188653745276,15.666231241395426,27.323661802332364,55.81125226695179
EGFDU_k32_tail_linear,18,6,46946,25.287337157235307,18.822158767654937,13.099142550934626,24.33985425671927,58.52487029744585
BUDA_k32_tail_linear,18,6,46946,25.288419616289783,18.93426399611922,13.363959487791103,24.339323817359322,58.524870297437495
EGFDL_k32_tail_linear,18,6,46946,25.300871804433157,18.819889575422064,13.363092408568061,24.340892620894664,58.52487029738319
ASTNL_k64_tail_linear,18,6,46946,25.859155855226888,20.418385401253502,21.984360063933167,28.089285603674348,55.81125226691325
ASTNL_k32_tail_linear,18,6,46946,27.579271282659406,22.077568739015287,20.88280971024722,34.25410946811469,58.52487029744551
BUDA_k16_tail_linear,18,6,46946,34.569862462900716,25.329561305890792,19.325277250452054,32.38048560386726,72.02082866448004
EGFDU_k16_tail_linear,18,6,46946,37.0637656750805,27.022610771527255,19.911071236673052,41.20062846509156,82.46122204297158
EGFDL_k16_tail_linear,18,6,46946,37.59987505568698,27.37227992532019,20.1394588702615,44.250245942243986,84.2514983185888
ASTNL_k16_tail_linear,18,6,46946,39.30338580479888,29.43812559655144,22.605406926270483,45.03647649865283,86.58119441950609
