variant,n_masks,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
EGFDL_k32_tail_mean,18,6,46946,10.278295189473933,9.183918576618153,9.098088519641543,11.0493555477397,20.291372143976258
EGFDL_k32_tail_median,18,6,46946,10.287588154760066,9.209764754606867,9.029457296503995,11.052985684889721,20.304304015863696
EGFDU_k32_tail_mean,18,6,46946,10.303000319908739,9.21533816124458,9.26852156791028,11.201113104901875,20.291372143976943
EGFDU_k32_tail_median,18,6,46946,10.312668062258892,9.241547275350591,9.199760389651955,11.204291698396345,20.304304015862822
BUDA_k32_tail_mean,18,6,46946,10.458829274926222,9.39662437419017,9.400600501010487,11.695234985956228,20.291372143975842
BUDA_k32_tail_median,18,6,46946,10.469310450688905,9.423344455895473,9.292481118199115,11.696186101299508,20.304304015861717
BUDA_k16_tail_median,18,6,46946,11.184950175421953,10.05026561019378,9.577148095322393,12.813284942563143,18.52795905018451
BUDA_k16_tail_mean,18,6,46946,11.190195110489299,10.047612959312483,9.655445711909053,12.75288155952533,18.547774810103636
EGFDU_k16_tail_median,18,6,46946,11.595905963790841,10.266033646553536,9.584830069979787,12.50793571994689,21.35261299645214
EGFDU_k16_tail_mean,18,6,46946,11.6110506858383,10.272956501958824,9.66009159532771,12.507058392368107,21.391489762528618
BUDA_k8_tail_mean,18,6,46946,11.683224086016331,10.526937878148596,9.30082194114533,11.93766608625759,21.484225229316696
BUDA_k8_tail_median,18,6,46946,11.697870974101814,10.543192152177514,9.376376756508943,11.943740498922216,21.46581534531401
EGFDL_k16_tail_median,18,6,46946,11.715741740054327,10.334279833923166,9.586127638618766,12.579110599008793,22.082706324851333
EGFDL_k16_tail_mean,18,6,46946,11.73367227741101,10.34396864924986,9.660966777351907,12.595809246494076,22.12197330355371
EGFDU_k8_tail_mean,18,6,46946,12.531343812770311,11.050128758994541,9.300873874621228,11.937877619031156,25.521113750690507
EGFDU_k8_tail_median,18,6,46946,12.546019822378522,11.06679643872432,9.37643598984304,11.943740498922024,25.492393570555652
ASTNL_k32_tail_mean,18,6,46946,12.701886802013284,11.192275186672573,9.343849575249525,13.012797539808602,25.703651399693122
ASTNL_k32_tail_median,18,6,46946,12.715966932156181,11.222171667222895,9.233889213269489,13.070536006370453,25.656977941457694
EGFDL_k8_tail_mean,18,6,46946,12.762713512532327,11.190777508446649,9.300701639799641,11.937956833025549,26.58610110178793
EGFDL_k8_tail_median,18,6,46946,12.777328844565035,11.207527048113917,9.376267562754613,11.943740498920935,26.555721878376215
ASTNL_k16_tail_median,18,6,46946,14.40060601493568,12.260758362276203,9.554271517797975,13.036398006629085,33.42180216179472
ASTNL_k16_tail_mean,18,6,46946,14.452045591441255,12.288582852672608,9.642430278075942,13.008254367058669,33.72955592021487
ASTNL_k8_tail_mean,18,6,46946,16.360562056183795,13.396562008776497,9.300649544954812,11.93774148055222,43.64797047186835
ASTNL_k8_tail_median,18,6,46946,16.3662843777404,13.411635564904701,9.376214727409032,11.943740498922525,43.68628995555942
