type,val_rmse,well_id,n_pre,n_post,tvt_range,tvt_net_change,z_range,z_net,dtvt_dmd,slope_z,physics_error_std,last_known_tvt,calib_r2,pre_gr_var,post_gr_var,xcorr_post,tw_tvt_range,pattern
HARD,64.5,1b1eba53,2055,4655,98.9,70.9,105.7,-94.1,0.4136,-1.004,16.78,12726.1,0.653,494.2,292.7,0.534,1206.5,RAMP
HARD,51.6,ba48188d,1368,4166,105.0,-103.8,233.1,233.1,0.2903,-1.1194,45.2,12271.5,0.482,298.0,172.3,0.573,601.0,RAMP
HARD,43.0,81bf5923,1843,4543,53.6,-40.2,50.3,41.2,0.4318,-0.9791,2.97,12773.6,0.543,575.4,223.0,0.356,1042.0,RAMP
HARD,41.0,389ae58f,1738,6463,68.5,51.7,188.4,-188.4,0.4202,-1.0582,46.32,11707.3,0.604,477.7,208.3,0.603,985.5,RAMP
HARD,36.9,fef8af96,1242,3826,88.8,-87.9,69.4,-69.4,0.4302,-0.9385,38.82,11042.3,0.762,357.7,156.0,0.72,657.4,RAMP
HARD,35.2,206b6193,2033,6535,70.1,-70.1,268.0,268.0,0.3235,-1.0764,61.54,11456.5,0.759,455.0,227.4,0.534,887.1,RAMP
HARD,25.9,445af6c2,1957,6041,39.1,-35.7,176.6,-176.6,0.442,-0.9697,58.57,11223.7,0.77,344.2,64.3,0.429,1068.0,RAMP
TEST,,000d7d20,1442,3836,,,100.0,100.0,0.3027,-1.0401,,11747.4,0.65,437.0,227.8,,647.5,UNKNOWN
TEST,,00bbac68,1545,6014,,,176.5,176.5,0.5327,-1.114,,12223.5,0.722,463.6,248.7,,972.5,UNKNOWN
TEST,,00e12e8b,2083,4301,,,144.8,144.8,0.449,-0.9653,,11604.8,0.895,1698.8,101.4,,1277.5,UNKNOWN
TEST_TRAIN,,000d7d20,1442,3836,15.2,-10.1,100.0,100.0,0.3027,-1.0401,27.93,11747.4,0.65,437.0,227.8,-0.09,647.5,FLAT
TEST_TRAIN,,00bbac68,1545,6014,50.2,-6.8,176.5,176.5,0.5327,-1.114,51.91,12223.5,0.722,463.6,248.7,0.438,972.5,COMPLEX
TEST_TRAIN,,00e12e8b,2083,4301,29.6,-8.5,144.8,144.8,0.449,-0.9653,37.07,11604.8,0.895,1698.8,101.4,0.682,1277.5,MODERATE
